지역구,어린이집명,주소
강남구,포스코 제2 어린이집,서울특별시 강남구 테헤란로 440 포스코센터 4층
강서구,구립 새하늘어린이집,서울특별시 강서구 강서로17다길 15-14
동대문구,한빛어린이집,서울특별시 동대문구 천장산로7길 16 (이문동)
마포구,월드컵어린이집,서울특별시 마포구 월드컵북로 501 관리동 1층
마포구,신촌숲어린이집,서울특별시 마포구 광성로 17 관리동 1층
서초구,서초구립 롯데캐슬킨더어린이집,서울특별시 서초구 서운로 197 1층
노원구,진주어린이집,서울특별시 노원구 동일로227길 86 1614동 103호
서대문구,늘품자연어린이집,서울특별시 서대문구 거북골로 84 DMC에코자이아파트 단지 내
중랑구,푸른숲어린이집,서울특별시 중랑구 용마산로94길 94 (면목동)
도봉구,무지개어린이집,서울특별시 도봉구 덕릉로60길 121-20
도봉구,웃음가득어린이집,"서울특별시 도봉구 마들로 859-19 106동 104호(도봉동, 도봉한신아파트)"
마포구,아름드리어린이집,서울특별시 마포구 월드컵로 338 관리동 1층
은평구,구립 내일어린이집,서울특별시 은평구 응암로16길 20-9 구립 내일어린이집
강북구,구립삼성어린이집,서울특별시 강북구 한천로159길 8 삼성아파트 관리동
광진구,구립 우리아이어린이집,서울특별시 광진구 구의로4길 21 구의동
서초구,서초구립 대우효령어린이집,서울특별시 서초구 효령로 84
노원구,상계해솔어린이집,"서울특별시 노원구 수락산로 12 (상계역센트럴푸르지오A, 상계동)"
노원구,호호어린이집,서울특별시 노원구 석계로 49 현대아파트 단지내
강서구,구립 해담어린이집,서울특별시 강서구 금낭화로11길 36
성동구,구립 성수아이파크어린이집,"서울특별시 성동구 성수이로 137 관리동 1층 (성수동2가, 성수동아이파크)"
노원구,노원든든어린이집,"서울특별시 노원구 초안산로2라길 26 월계센트럴아이파크A, 월계동"
중랑구,수자인어린이집,서울특별시 중랑구 사가정로72길 26 한양수자인사가정파크 단지내 (면목동)
중랑구,보림어린이집,"서울특별시 중랑구 중랑천로 286 101동 101호(묵동, 현대아이파크)"
마포구,GS예원어린이집,서울특별시 마포구 창전로 26 관리동 1층
서초구,CJ키즈빌어린이집,서울특별시 서초구 전원말4길 7
도봉구,단비어린이집,"서울특별시 도봉구  마들로 859-19 110동 106호(도봉동, 도봉한신아파트)"
종로구,라이나생명 키즈나루 어린이집,서울특별시 종로구 삼봉로 48 시그나 빌딩 2층
강남구,신동아어린이집,서울특별시 강남구 헌릉로590길 10 관리동
서대문구,삼성영재어린이집,서울특별시 서대문구 증가로 191 DMC래미안클라시스 108동 104호
도봉구,나무어린이집,"서울특별시 도봉구 노해로66길 21 103동 106호(창동, 삼성래미안아파트)"
성동구,구립 왕십리하나어린이집,서울특별시 성동구 무학봉16길 9-3
은평구,서울소방학교 직장어린이집,서울특별시 은평구 통일로 1031-21
강남구,다람패스트파이브공동직장어린이집,서울특별시 강남구 봉은사로18길 45-1
